"","group","theta","mean","mean_st","sd","sd_st","rmse","rmse_st","ese","ese_st","bias","bias_pct","bias_st","bias_pct_st","ICC_C_1","r_theta_est","n_rep","scenario","scenario_label"
"1","Group 1",0,-0.00218412725001285,-0.00577695119110557,0.967457303406723,0.886781056465576,0.260748392880667,0.232339723076822,0.00084831185833631,0.0363546455202961,-0.00218412725001285,-Inf,-0.00577695119110557,-Inf,0.960795498551883,0.965363403376834,500,1,"HRS+MHAS_all_shared"
"2","Group 2",-0.24,-0.252358237198278,-0.234894150609353,1.05795048620588,0.968853834338152,0.260389148606405,0.230331210357164,0.0622180978609894,0.0444737987196842,-0.0123582371982776,-0.0514926549928231,0.0051058493906472,0.02127437246103,0.967881967266221,0.971744839155682,500,1,"HRS+MHAS_all_shared"
"3","Combined",-0.12,-0.127271182224145,-0.120335550900229,1.02162264537683,0.93596452362235,0.260643557708133,0.2314024515846,0.0310938418417043,0.0290747938738335,-0.00727118222414522,-0.0605931852012101,-0.000335550900229187,-0.00279625750190989,0.965238708126624,0.969343493666828,500,1,"HRS+MHAS_all_shared"
"4","Group 1",0,-0.0817987107692201,-0.0782586172518545,0.953719159575069,0.905787388046528,0.370707373704635,0.34208767289757,0.0616687247036867,0.0313316983836208,-0.0817987107692201,-Inf,-0.0782586172518545,-Inf,0.925028801141428,0.930661992117215,500,2,"HRS+MHAS_UMON_UDAY_UYER_shared"
"5","Group 2",-0.24,-0.172976201095471,-0.16473509408738,1.00837290184881,0.956630596398543,0.345989957861953,0.324062620550242,0.0813719853165801,0.0333813894344131,0.0670237989045292,0.279265828768872,0.0752649059126195,0.313603774635915,0.944232686388977,0.947105340196638,500,2,"HRS+MHAS_UMON_UDAY_UYER_shared"
"6","Combined",-0.12,-0.127387455932345,-0.121496855669618,0.982189957302298,0.932278445290417,0.358954102467766,0.333282597215639,0.0703212792923856,0.028618066250286,-0.00738745593234544,-0.0615621327695453,-0.00149685566961751,-0.0124737972468125,0.932658048302284,0.935897181186474,500,2,"HRS+MHAS_UMON_UDAY_UYER_shared"
"7","Group 1",0,-0.0144602314202828,-0.022048877533817,0.943434538383783,0.884441531909749,0.34495595334994,0.32565671832229,0.00513659681157897,0.0381006982101725,-0.0144602314202828,-Inf,-0.022048877533817,-Inf,0.92906369342412,0.931832843220613,500,3,"HRS+MHAS_UMON_UDAY_UYER_UIWR_shared"
"8","Group 2",-0.24,-0.228454711071341,-0.22253462520476,1.03702220774389,0.971392418729687,0.292119294040975,0.271006587158999,0.0637301361138298,0.0435777385633524,0.0115452889286589,0.0481053705360787,0.0174653747952399,0.0727723949801663,0.958746221190789,0.96123876308219,500,3,"HRS+MHAS_UMON_UDAY_UYER_UIWR_shared"
"9","Combined",-0.12,-0.121457471245812,-0.122291751369289,0.997253311407416,0.93448005595312,0.319747441601421,0.299664929874,0.0338389507986345,0.0298264566355856,-0.00145747124581196,-0.0121455937150996,-0.00229175136928852,-0.0190979280774044,0.946029666276231,0.948411826804968,500,3,"HRS+MHAS_UMON_UDAY_UYER_UIWR_shared"
"10","Group 1",0,-0.00029149236464405,-0.00979980387918118,0.926554498249882,0.888414541623186,0.364245345724627,0.351474607846061,0.00041983066158219,0.0383829915729651,-0.00029149236464405,-Inf,-0.00979980387918118,-Inf,0.91919521770608,0.920749165083708,500,4,"HRS_all_shared"
"11","Group 2",-0.24,-0.232472929780765,-0.232162138395378,1.00763531784634,0.965400507453257,0.36182872646041,0.348789512781619,0.060706262904386,0.0435850092068034,0.00752707021923457,0.0313627925801441,0.0078378616046216,0.0326577566859234,0.933729250722453,0.934828818520674,500,4,"HRS_all_shared"
"12","Combined",-0.12,-0.116382211072705,-0.12098097113728,0.975114502230505,0.934569826495394,0.363143794046651,0.350237270959298,0.0303323551703201,0.0292099126994403,0.00361778892729527,0.0301482410607939,-0.000980971137279782,-0.00817475947733152,0.928332112333291,0.929518970639355,500,4,"HRS_all_shared"
"13","Group 1",0,-0.00108734097849644,-0.0042707471572891,0.941500426138127,0.880752201259228,0.326553580453744,0.306267138555335,0.000713775024349789,0.0379359505874461,-0.00108734097849644,-Inf,-0.0042707471572891,-Inf,0.935824573698638,0.938867156220686,500,5,"MHAS_all_shared"
"14","Group 2",-0.24,-0.250149809797463,-0.237157448524774,1.03498294662619,0.967303679630891,0.324940557605998,0.304267682688767,0.0618647422425902,0.0419283814403783,-0.0101498097974632,-0.0422908741560967,0.00284255147522558,0.0118439644801066,0.948365788966405,0.950663772240761,500,5,"MHAS_all_shared"
"15","Combined",-0.12,-0.12561857538798,-0.120714097841032,0.997405271374826,0.93257663612248,0.325827505809943,0.305345180144,0.0309353782048763,0.02757450513666,-0.00561857538797983,-0.0468214615664986,-0.000714097841031755,-0.00595081534193129,0.94375098211528,0.946257819723387,500,5,"MHAS_all_shared"
"16","Group 1",0,-0.106604917574616,-0.105234356723924,0.964045529434547,0.921408785761782,0.389759895236407,0.353766093876858,0.0881532436764397,0.0299221184387584,-0.106604917574616,-Inf,-0.105234356723924,-Inf,0.922350351211321,0.930666560672215,500,6,"HRS+HMAS_UDAY_shared"
"17","Group 2",-0.24,-0.140327025054977,-0.137759354615311,0.988060135819401,0.943500239297256,0.364985780795382,0.335494021982853,0.105618786770206,0.0308375065817206,0.0996729749450229,0.415304062270929,0.102240645384689,0.426002689102872,0.9411061453302,0.945287974355057,500,6,"HRS+HMAS_UDAY_shared"
"18","Combined",-0.12,-0.123465971314797,-0.121496855669618,0.975871602889584,0.932278445290417,0.378430792863172,0.344832471570614,0.096712767373168,0.028618066250286,-0.00346597131479662,-0.0288830942899718,-0.00149685566961752,-0.0124737972468127,0.926680221486953,0.931372518546184,500,6,"HRS+HMAS_UDAY_shared"
"19","Group 1",0,-0.0152881021312191,-0.0259256316477915,0.945067223950841,0.888323741190337,0.345548973601381,0.32670665351938,0.00536651086561232,0.0380114798456744,-0.0152881021312191,-Inf,-0.0259256316477915,-Inf,0.928958411839621,0.931842555126306,500,7,"HRS+MHAS_UIWR_shared_no_MHAS_dates"
"20","Group 2",-0.24,-0.220454476045584,-0.218657871090786,1.03127553623091,0.968671426985673,0.294961838646334,0.275503014848475,0.0634382525785811,0.0435725596025041,0.0195455239544159,0.0814396831433998,0.0213421289092144,0.0889255371217266,0.95779166763795,0.959914349386209,500,7,"HRS+MHAS_UIWR_shared_no_MHAS_dates"
"21","Combined",-0.12,-0.117871289088402,-0.122291751369289,0.994555538405153,0.93448005595312,0.321365853227913,0.302275560187826,0.0337328882229938,0.0298264566355856,0.00212871091159841,0.0177392575966535,-0.00229175136928852,-0.0190979280774044,0.945318295582289,0.947508579894492,500,7,"HRS+MHAS_UIWR_shared_no_MHAS_dates"
"22","Group 1",0,-0.0183928309893174,-0.0243928838212676,0.944250809492284,0.885392695704756,0.35196678870592,0.332390362325113,0.00720509699948927,0.0382383766665143,-0.0183928309893174,-Inf,-0.0243928838212676,-Inf,0.926275569918721,0.929117324959415,500,8,"HRS+MHAS_UIWR_shared_no_HRS_dates"
"23","Group 2",-0.24,-0.227337625015371,-0.220190618917309,1.0363599063558,0.970999475434133,0.29229230010357,0.271241798795819,0.0655397930068003,0.0439810604561428,0.0126623749846291,0.0527598957692879,0.0198093810826906,0.082539087844544,0.95876119237317,0.96121568042733,500,8,"HRS+MHAS_UIWR_shared_no_HRS_dates"
"24","Combined",-0.12,-0.122865228002344,-0.122291751369289,0.997029709156095,0.93448005595312,0.323626008263201,0.303446433844632,0.0353530515872335,0.0298264566355856,-0.00286522800234412,-0.0238769000195344,-0.00229175136928852,-0.0190979280774044,0.944724507092837,0.94709604159529,500,8,"HRS+MHAS_UIWR_shared_no_HRS_dates"
"25","Group 1",0,-0.0594268254315423,-0.065678554844389,0.968864104690345,0.914236096789236,0.35540294785631,0.331551644238124,0.0223612579927145,0.0349938957276289,-0.0594268254315423,-Inf,-0.065678554844389,-Inf,0.928944182894285,0.934942633035051,500,9,"HRS+MHAS_UMON(b=1.928)_UDAY(b=0)_UYER(b=-1.928)_shared"
"26","Group 2",-0.24,-0.177586414530197,-0.177070839980754,1.00457632445505,0.94703026291656,0.332030270538624,0.314911455816799,0.0657619873933637,0.0355477191202335,0.0624135854698028,0.260056606124178,0.062929160019246,0.262204833413525,0.947273507862572,0.948910070582761,500,9,"HRS+MHAS_UMON(b=1.928)_UDAY(b=0)_UYER(b=-1.928)_shared"
"27","Combined",-0.12,-0.11850661998087,-0.121374697412571,0.98848567389841,0.932290047768695,0.344151741002919,0.323416680944246,0.043815905398819,0.028457309325248,0.00149338001913027,0.0124448334927522,-0.0013746974125715,-0.0114558117714292,0.937156816686438,0.939644484919326,500,9,"HRS+MHAS_UMON(b=1.928)_UDAY(b=0)_UYER(b=-1.928)_shared"
"28","Group 1",0,-0.0172342505928182,-0.0233803938554315,0.976283800753551,0.908816418753348,0.310890132216678,0.281656687370898,0.0055777842777808,0.037830703532183,-0.0172342505928182,-Inf,-0.0233803938554315,-Inf,0.944466681614352,0.951161315753144,500,10,"HRS+MHAS_UMON(b=1.928,a1=4)_UDAY(b=0,a1=4)_UYER(b=-1.928,a1=4)_shared"
